Stop_id,Stop Name,Lat,Lng
476,T.N.C.F,13.08138,80.27818
477,Parrys,13.08888,80.2904
480,CENTRAL,13.08186,80.27628
486,EgmoreNorthR.S.,13.07946,80.25981
487,Kelleys,13.08226,80.24363
490,K.M.html,13.07781,80.24277
492,Thirumangalam,13.08541,80.19848
495,AnnaNagarWest,13.09712,80.19839
497,IcfAnnexe,13.09461,80.22354
502,KilpaukGarden,13.08374,80.23358
504,I.C.F,13.09657,80.21908
507,TaylorsRoad,13.07676,80.23813
512,KoyambeduRohiniTheater,13.07511,80.19509
513,Jn.OfR.GardenPevrH.,13.07427,80.21592
520,CENTRAL,13.08136,80.27547
524,AnnaSquare,13.06426,80.28337
525,PeriyarBridge,13.07163,80.27442
527,P.O.R._SONS,13.07061,80.2739
529,Egmore,13.07751,80.26139
534,M.M.D.A.Colony,13.06476,80.21135
538,M.M.D.A.ColonyRd.Jn.,13.06385,80.21178
540,Dasaprakash,13.07889,80.25032
542,T.B.Institute,13.07225,80.25187
547,HotelArun,13.07304,80.22079
554,Aminijikarai,13.07398,80.22472
558,PostalAuditOffice,13.06359,80.26139
559,D.P.I,13.06754,80.25202
569,TriplicaneO.T(Corpn.Sc,13.05923,80.2715
571,V.HouseP.S,13.05242,80.27409
576,T.V.S,13.05963,80.25961
578,WESLEY_H.S.,13.05923,80.26554
582,Chepauk,13.05757,80.28191
585,V.House,13.05038,80.28053
586,V.HouseTerminus,13.05072,80.27925
599,SANTHOME_P.O.,13.03322,80.27783
600,Q.M.html,13.04336,80.27916
601,Luz,13.03692,80.26757
602,MYLAPORE,13.03232,80.26714
611,UthamarGandhisalai(Corp,13.06384,80.24337
612,PushpaNagar,13.05851,80.24071
613,NungambakkamR.S,13.06552,80.23401
614,SterlingRoad,13.06501,80.23993
615,VeterinaryHospital,13.05251,80.24144
617,Mahalingapuram,13.05801,80.23506
620,Trustpuram,13.05339,80.22294
621,BharathiNagar(PeriyarPa,13.05419,80.22886
626,SunTheater,13.04784,80.24543
628,R020,13.04666,80.23273
632,FiveLamps,13.0466,80.22629
633,AnjugamSchool,13.04198,80.22543
636,PicturePost,13.05155,80.22165
638,PudurHighSchool,13.04241,80.21654
639,Vidyodaya,13.05139,80.24062
640,VadapalaniB.S,13.04934,80.20856
641,C.M.B.T.,13.06932,80.20583
642,Dasarathapuram,13.05726,80.20419
643,Saligraman,13.05312,80.19721
645,Virugambakkam,13.04666,80.19234
648,Mandaveli,13.02668,80.26572
649,ADYAR_GATE,13.02927,80.24775
651,PondyBazaar,13.04026,80.24028
655,KrishnanTemple/PondyBaz,13.04035,80.23992
659,TelegraphOffice,13.04274,80.23607
663,S.H.B,13.03021,80.24075
666,SouthBoagS.EastBoag,13.035,80.24191
668,JnOfIiiAnd1StAve,13.0419,80.21232
675,Govt.GirlsH.Sc,13.03138,80.216
678,KalaignarNagar,13.03585,80.20465
680,JaffarkhanPet,13.02874,80.2086
